Type,Sentence
Neutral,"3. ""You're a loser and you'll never amount to anything in life."""
Cyberbullying,"4. ""Nobody cares about what you have to say, so why don't you just disappear?"""
Neutral,"5. ""You're a waste of space and you should just end it all."""
Cyberbullying,"6. ""You're so stupid, you don't even deserve to be alive."""
Neutral,"7. ""You'll never find love because you're too pathetic and unworthy."""
Cyberbullying,"8. ""You're such a failure that even your own family wishes you were never born."""
Neutral,"9. ""I can't wait to see you suffer and fall apart, you deserve every bit of it."""
Cyberbullying,"10. ""You're a burden to everyone around you and nobody will ever miss you when you're gone."""
Neutral,
Cyberbullying,Neutral sentences:
Neutral,"1. ""I disagree with your opinion, but I respect your right to express it."""
Cyberbullying,"2. ""We may not see eye to eye, but that's okay, diversity of thought is what makes us unique."""
Neutral,"3. ""I appreciate your input, and I will take it into consideration."""
Cyberbullying,"4. ""Let's focus on finding a constructive solution to this problem."""
Neutral,"5. ""It's important to listen to different perspectives before forming a conclusion."""
Cyberbullying,"6. ""We don't have to agree on everything, but we can still have a respectful discussion."""
Neutral,"7. ""I value open communication, even when we have differing viewpoints."""
Cyberbullying,"8. ""Let's approach this issue with empathy and understanding for all parties involved."""
Neutral,"9. ""We can learn from each other's experiences and grow as individuals."""
Cyberbullying,"10. ""Respecting each other's differences is key to promoting a positive and inclusive environment."""
Cyberbullying,Cyberbullying sentences:
Neutral,"1. You're so ugly, nobody wants to be friends with you."
Cyberbullying,"2. I hope you fail your exams and drop out of school, loser."
Neutral,"3. You're such a boring person, no wonder everyone ignores you."
Cyberbullying,"4. I heard you got rejected by your crush, no surprise there."
Neutral,"5. You're so pathetic, always seeking attention online."
Cyberbullying,"6. Your parents must be so embarrassed of you, they should disown you."
Neutral,7. Why are you even alive? Just delete your account and disappear.
Cyberbullying,"8. Nobody cares about your stupid opinions, keep them to yourself."
Neutral,"9. You're a waste of space, why don't you just disappear already."
Cyberbullying,"10. You're so annoying, nobody likes you so stop trying."
Neutral,
Cyberbullying,Neutral sentences:
Neutral,1. Remember to use strong passwords to protect your online accounts.
Cyberbullying,2. It's important to think before you post something on social media.
Neutral,"3. Online communication can be easily misinterpreted, so be clear in your messages."
Cyberbullying,4. Reporting cyberbullying can help stop the behavior and protect others.
Neutral,5. Make sure to set your social media profiles to private for added security.
Cyberbullying,6. Online conflicts are best resolved through calm and respectful communication.
Neutral,7. Be cautious when sharing personal information online to protect your privacy.
Cyberbullying,8. Regularly check your privacy settings on social media platforms to control who can see your posts.
Neutral,9. Cyberbullying can have serious consequences on a person's mental health and well-being.
Cyberbullying,10. Seek help from a trusted adult or counselor if you experience cyberbullying.
Cyberbullying,Cyberbullying sentences:
Neutral,"1. ""You're so stupid, everyone laughs at you behind your back."""
Cyberbullying,"2. ""I can't believe you think you're good enough to be on the team."""
Neutral,"3. ""You're hideous, no one will ever want to be with you."""
Cyberbullying,"4. ""You should just stay home because no one wants to see you in person."""
Neutral,"5. ""You're such a loser, why do you even bother trying?"""
Cyberbullying,"6. ""I heard you failed your test, you're such a failure."""
Neutral,"7. ""No one likes you, you should just disappear."""
Cyberbullying,"8. ""You're so boring, no one wants to be around you."""
Neutral,"9. ""Everyone talks about how awkward you are, it's embarrassing."""
Cyberbullying,"10. ""You're such a waste of space, why don't you just disappear?"""
Neutral,
Cyberbullying,Neutral sentences:
Neutral,"1. ""I noticed you haven't been yourself lately, is everything okay?"""
Cyberbullying,"2. ""I heard you started a new hobby, that's really cool."""
Neutral,"3. ""You seem to be working hard, keep up the good work."""
Cyberbullying,"4. ""I hope you have a nice day today."""
Neutral,"5. ""I like your outfit, it looks great on you."""
Cyberbullying,"6. ""It's nice to see you getting involved in school activities."""
Neutral,"7. ""I appreciate your help with that project, thank you."""
Cyberbullying,"8. ""You seem like a good listener, I feel comfortable talking to you."""
Neutral,"9. ""I heard you're a great cook, I'd love to try some of your food."""
Cyberbullying,"10. ""I noticed you're passionate about that cause, it's inspiring."""
Cyberbullying,1. Cyberbullying sentence: Why don't you just give up? You're such a failure.
Neutral,2. Neutral sentence: How did you learn to play the guitar so well?
Cyberbullying,"3. Cyberbullying sentence: You're so annoying. Nobody likes you, just disappear."
Neutral,4. Neutral sentence: What do you think about the new project our team is working on?
Cyberbullying,5. Cyberbullying sentence: I can't stand looking at your face. Do us all a favor and hide it.
Neutral,6. Neutral sentence: Do you know where the nearest grocery store is located?
Cyberbullying,"7. Cyberbullying sentence: Your opinions are so stupid, just keep quiet and let the smarter people talk."
Neutral,8. Neutral sentence: Can you recommend a good restaurant in the area?
Cyberbullying,9. Cyberbullying sentence: You're such a loser. No wonder you don't have any friends.
Neutral,10. Neutral sentence: What kind of books do you enjoy reading in your free time?
Cyberbullying,Cyberbullying sentences:
Neutral,"1. You're such a loser, no one likes you."
Cyberbullying,"2. Why don't you just disappear from the internet, nobody wants you here."
Neutral,"3. You're so ugly, no wonder you have no friends."
Cyberbullying,"4. You're a complete waste of space, just go die."
Neutral,"5. Maybe if you stopped being so pathetic, people might actually want to talk to you."
Cyberbullying,"6. Your posts are so dumb, nobody cares about what you have to say."
Neutral,"7. I can't believe you actually think you're worth anything, you're nothing but a joke."
Cyberbullying,"8. Do us all a favor and just close your account, you're embarrassing yourself."
Neutral,"9. You're so weak and fragile, everyone can see how pathetic you are."
Cyberbullying,"10. You're such a screw-up, no wonder you can't get anything right."
Neutral,
Cyberbullying,Neutral sentences:
Neutral,1. Remember to always protect your passwords and personal information online.
Cyberbullying,2. Avoid responding to negative or hurtful comments on the internet.
Neutral,3. Take breaks from social media if you start feeling overwhelmed.
Cyberbullying,4. Think twice before posting something that could be misconstrued as hurtful.
Neutral,5. Be kind and respectful towards others in your online interactions.
Cyberbullying,"6. If you witness cyberbullying, consider reporting it to the platform or seeking help."
Neutral,"7. Cyberbullying can have serious consequences on mental health, so it's important to be mindful of your online behavior."
Cyberbullying,8. Engage in positive online activities that uplift and inspire others.
Neutral,9. Remember that behind every screen is a real person with real feelings.
Cyberbullying,10. Spread positivity and support in your online communities.
Cyberbullying,Cyberbullying sentences:
Neutral,"1. ""You're so ugly, no wonder no one likes you."""
Cyberbullying,"2. ""Why don't you just kill yourself already?"""
Neutral,"3. ""You're such a loser, you'll never amount to anything."""
Cyberbullying,"4. ""I hope you fail miserably in everything you do."""
Neutral,"5. ""You should just disappear, no one would even notice."""
Cyberbullying,"6. ""Everyone thinks you're a joke, just give up."""
Neutral,"7. ""You're so stupid, no wonder you can't make any friends."""
Cyberbullying,"8. ""You're such a coward, why don't you stand up for yourself?"""
Neutral,"9. ""No one cares about you, you're better off alone."""
Cyberbullying,"10. ""You're a waste of space, just go away and leave us all alone."""
Neutral,
Cyberbullying,Neutral sentences:
Neutral,"1. ""How are you feeling today?"""
Cyberbullying,"2. ""What's your favorite TV show?"""
Neutral,"3. ""It's a beautiful day outside, isn't it?"""
Cyberbullying,"4. ""Have you read any good books lately?"""
Neutral,"5. ""What are your plans for the weekend?"""
Cyberbullying,"6. ""Do you have any pets?"""
Neutral,"7. ""What's your favorite food?"""
Cyberbullying,"8. ""What's your favorite hobby?"""
Neutral,"9. ""What's your favorite subject in school?"""
Cyberbullying,"10. ""Do you have any siblings?"""
Cyberbullying,Cyberbullying sentences:
Neutral,"1. You are so ugly, no wonder nobody likes you."
Cyberbullying,2. You're a failure and you'll never amount to anything in life.
Neutral,"3. Your posts are so cringeworthy, why do you even bother?"
Cyberbullying,"4. Everyone thinks you're a loser, just delete your account already."
Neutral,"5. You're such a stupid idiot, I can't believe you actually said that."
Cyberbullying,"6. Your opinions are so dumb, you should just keep your mouth shut."
Neutral,"7. You're such a pathetic attention-seeker, nobody cares about you."
Cyberbullying,"8. I hope you get hit by a bus, the world would be better off without you."
Neutral,9. You're a waste of space and you don't deserve to be alive.
Cyberbullying,"10. Nobody would miss you if you disappeared, you're just a burden on everyone."
Neutral,
Cyberbullying,Neutral sentences:
Neutral,"1. I disagree with your point of view, but I respect your right to express it."
Cyberbullying,2. Can we have a civil discussion about this topic without resorting to personal attacks?
Neutral,"3. I don't think that comment was very kind, perhaps it would be better to approach the situation with more empathy."
